"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P49167|RL38_YEAST1",0.59215384361028,16.5235381931832,14.364030199183,1.38044627715599e-05,0.00133489848588794,4.07497331916482,"conditionD-conditionB","sp|P49167|RL38_YEAST","YEAST","1","0.584962500721156"
"sp|P32324|EF2_YEAST1",0.513792938228161,20.4701668674408,14.3456243712905,1.39003841707226e-05,0.00133489848588794,4.06779348366893,"conditionD-conditionB","sp|P32324|EF2_YEAST","YEAST","1","0.584962500721156"
"sp|P53066|YGZ2_YEAST1",0.568779074799345,15.0078942656023,14.3242245266167,1.40128966234436e-05,0.00133489848588794,4.05943206028612,"conditionD-conditionB","sp|P53066|YGZ2_YEAST","YEAST","1","0.584962500721156"
"sp|P29453|RL8B_YEAST1",0.547190777027602,18.1705822771752,14.2736748338651,1.42829511779069e-05,0.00133489848588794,4.03962253629471,"conditionD-conditionB","sp|P29453|RL8B_YEAST","YEAST","1","0.584962500721156"
"sp|P32835|GSP1_YEAST;sp|P32836|GSP2_YEAST1",0.623826297786973,15.3154041892599,14.2640809474929,1.43348941374934e-05,0.00133489848588794,4.03585354048566,"conditionD-conditionB","sp|P32835|GSP1_YEAST;sp|P32836|GSP2_YEAST","YEAST","1","0.584962500721156"
"sp|P40037|HMF1_YEAST1",0.533298771622952,15.3517579865341,14.2179246700867,1.45879209737123e-05,0.00133489848588794,4.01767911076637,"conditionD-conditionB","sp|P40037|HMF1_YEAST","YEAST","1","0.584962500721156"
"sp|P22803|TRX2_YEAST1",0.601075069033865,18.3955179713519,14.1971573070677,1.47034789532705e-05,0.00133489848588794,4.00947916043676,"conditionD-conditionB","sp|P22803|TRX2_YEAST","YEAST","1","0.584962500721156"
"sp|P32599|FIMB_YEAST1",0.714811708467396,15.7804610831808,14.1568528176842,1.49308378568167e-05,0.00133489848588794,3.99352477311211,"conditionD-conditionB","sp|P32599|FIMB_YEAST","YEAST","1","0.584962500721156"
"sp|Q12363|WTM1_YEAST1",0.533622506404328,17.2528525280501,14.1499219428399,1.49703507349454e-05,0.00133489848588794,3.99077584384298,"conditionD-conditionB","sp|Q12363|WTM1_YEAST","YEAST","1","0.584962500721156"
"sp|P54115|ALDH6_YEAST1",0.535001962712077,18.9792478544771,14.1358968326238,1.50506848530279e-05,0.00133489848588794,3.98520836241654,"conditionD-conditionB","sp|P54115|ALDH6_YEAST","YEAST","1","0.584962500721156"
"sp|P04802|SYDC_YEAST1",0.58119909197163,17.5694550386462,14.1123107878669,1.51869296156622e-05,0.00133489848588794,3.97583091516788,"conditionD-conditionB","sp|P04802|SYDC_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST1",0.51798580339273,18.387149796441,14.1002693073839,1.52570465682699e-05,0.00133489848588794,3.97103632993815,"conditionD-conditionB","sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST","YEAST","1","0.584962500721156"
"sp|P38972|PUR4_YEAST1",0.512807204411981,16.8434872942719,14.0582115518646,1.55049534576901e-05,0.00133489848588794,3.95425243055137,"conditionD-conditionB","sp|P38972|PUR4_YEAST","YEAST","1","0.584962500721156"
"sp|P27616|PUR7_YEAST1",0.62670560495828,16.2458829780389,14.0429011570378,1.5596374298865e-05,0.00133489848588794,3.94812796356709,"conditionD-conditionB","sp|P27616|PUR7_YEAST","YEAST","1","0.584962500721156"
"sp|P40531|GVP36_YEAST1",0.575662801849578,15.9417594938631,13.998057099386,1.58678174339874e-05,0.00133489848588794,3.93014446673462,"conditionD-conditionB","sp|P40531|GVP36_YEAST","YEAST","1","0.584962500721156"
"sp|P04840|VDAC1_YEAST1",0.564673293494852,18.4903285240833,13.9907107750179,1.59128131198554e-05,0.00133489848588794,3.92719201271499,"conditionD-conditionB","sp|P04840|VDAC1_YEAST","YEAST","1","0.584962500721156"
"sp|P05694|METE_YEAST1",0.552619050653281,18.1174218680903,13.9877218761145,1.59311628547127e-05,0.00133489848588794,3.92599027040458,"conditionD-conditionB","sp|P05694|METE_YEAST","YEAST","1","0.584962500721156"
"sp|P53184|PNC1_YEAST1",0.589050529189976,15.8853390473844,13.9747876755166,1.60108572730071e-05,0.00133489848588794,3.92078638084462,"conditionD-conditionB","sp|P53184|PNC1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX35|RS4A_YEAST;sp|P0CX36|RS4B_YEAST1",0.540100280327614,18.5593075726365,13.9722977562783,1.60262527654889e-05,0.00133489848588794,3.91978395308028,"conditionD-conditionB","sp|P0CX35|RS4A_YEAST;sp|P0CX36|RS4B_YEAST","YEAST","1","0.584962500721156"
"sp|Q02326|RL6A_YEAST1",0.648258992801903,17.9802490192306,13.9622881592216,1.60883194095851e-05,0.00133489848588794,3.91575204235594,"conditionD-conditionB","sp|Q02326|RL6A_YEAST","YEAST","1","0.584962500721156"
"sp|P07284|SYSC_YEAST1",0.607838532221681,16.8868557903694,13.9617380016467,1.60917389705248e-05,0.00133489848588794,3.91553033874882,"conditionD-conditionB","sp|P07284|SYSC_YEAST","YEAST","1","0.584962500721156"
"sp|P40825|SYA_YEAST1",0.593724973004171,17.0793244646469,13.95268310463,1.61481436640128e-05,0.00133489848588794,3.91187991487531,"conditionD-conditionB","sp|P40825|SYA_YEAST","YEAST","1","0.584962500721156"
"sp|P19414|ACON_YEAST1",0.570636834422196,17.8429085437273,13.9446899701476,1.61981278198061e-05,0.00133489848588794,3.90865523952763,"conditionD-conditionB","sp|P19414|ACON_YEAST","YEAST","1","0.584962500721156"
"sp|P09436|SYIC_YEAST1",0.590932193436348,17.3777714768715,13.8962588198512,1.65049092326114e-05,0.00133489848588794,3.88907049550641,"conditionD-conditionB","sp|P09436|SYIC_YEAST","YEAST","1","0.584962500721156"
"sp|P00924|ENO1_YEAST1",0.579935829242345,18.7063208298457,13.8848404538517,1.65782301993676e-05,0.00133489848588794,3.88444153034492,"conditionD-conditionB","sp|P00924|ENO1_YEAST","YEAST","1","0.584962500721156"
"sp|P07806|SYV_YEAST1",0.507882686864907,17.4666511160837,13.865366209351,1.67041666066095e-05,0.00133489848588794,3.87653652163981,"conditionD-conditionB","sp|P07806|SYV_YEAST","YEAST","1","0.584962500721156"
"sp|P24000|RL24B_YEAST1",0.526557357119458,17.179041323516,13.8142669423923,1.70400047298939e-05,0.00133489848588794,3.85573278038765,"conditionD-conditionB","sp|P24000|RL24B_YEAST","YEAST","1","0.584962500721156"
"sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST1",0.57696816415406,18.5544156625748,13.7934573728041,1.7179042862491e-05,0.00133489848588794,3.84723510162954,"conditionD-conditionB","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","YEAST","1","0.584962500721156"
"sp|P20081|FKBP_YEAST1",0.521468706710714,17.7091265426969,13.7866003449297,1.72251498179405e-05,0.00133489848588794,3.8444317477871,"conditionD-conditionB","sp|P20081|FKBP_YEAST","YEAST","1","0.584962500721156"
