"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P00360|G3P1_YEAST1",0.489724737190068,12.0370137155219,13.3810092273072,1.06750743812004e-05,0.00110725807842982,4.27669202106109,"conditionD-conditionB","sp|P00360|G3P1_YEAST","YEAST","1","0.584962500721156"
"sp|P00830|ATPB_YEAST1",0.54938432551733,9.43570395986614,13.3665420081655,1.07426900194822e-05,0.00110725807842982,4.27058320768238,"conditionD-conditionB","sp|P00830|ATPB_YEAST","YEAST","1","0.584962500721156"
"sp|P32368|SAC1_YEAST1",0.514315469624612,7.75833838956408,13.329865985819,1.09163443262971e-05,0.00110725807842982,4.25505934917797,"conditionD-conditionB","sp|P32368|SAC1_YEAST","YEAST","1","0.584962500721156"
"sp|P10591|HSP71_YEAST1",0.528831603422603,11.4471363549663,13.3240859974099,1.0944007945918e-05,0.00110725807842982,4.25260795773327,"conditionD-conditionB","sp|P10591|HSP71_YEAST","YEAST","1","0.584962500721156"
"sp|P26321|RL5_YEAST1",0.526872510785353,10.2273691036272,13.31011772772,1.10111983746319e-05,0.00110725807842982,4.2466782598634,"conditionD-conditionB","sp|P26321|RL5_YEAST","YEAST","1","0.584962500721156"
"sp|P46654|RSSA2_YEAST1",0.559808273733426,9.73621965967104,13.2480081056168,1.13158215978323e-05,0.00110725807842982,4.22021714233698,"conditionD-conditionB","sp|P46654|RSSA2_YEAST","YEAST","1","0.584962500721156"
"sp|P00560|PGK_YEAST1",0.459657342323132,12.6537186390969,13.2113581107131,1.15001652459359e-05,0.00110725807842982,4.20452981437233,"conditionD-conditionB","sp|P00560|PGK_YEAST","YEAST","1","0.584962500721156"
"sp|P00958|SYMC_YEAST1",0.444044133469196,8.41282901327028,13.2031351903349,1.15420029217287e-05,0.00110725807842982,4.20100267417574,"conditionD-conditionB","sp|P00958|SYMC_YEAST","YEAST","1","0.584962500721156"
"sp|P05750|RS3_YEAST1",0.506882524643901,11.8933012417949,13.1735509051778,1.16939949477047e-05,0.00110725807842982,4.18829005092153,"conditionD-conditionB","sp|P05750|RS3_YEAST","YEAST","1","0.584962500721156"
"sp|P07560|SEC4_YEAST1",0.519377813352008,7.98664291226016,13.1676454944493,1.17246121828893e-05,0.00110725807842982,4.1857481762817,"conditionD-conditionB","sp|P07560|SEC4_YEAST","YEAST","1","0.584962500721156"
"sp|P04840|VDAC1_YEAST1",0.528339189717469,10.3343159344363,13.1552346751969,1.17892613640061e-05,0.00110725807842982,4.1804015295719,"conditionD-conditionB","sp|P04840|VDAC1_YEAST","YEAST","1","0.584962500721156"
"sp|P06169|PDC1_YEAST1",0.456577783255204,12.0753041711879,13.1407118566315,1.18654385478542e-05,0.00110725807842982,4.1741370276853,"conditionD-conditionB","sp|P06169|PDC1_YEAST","YEAST","1","0.584962500721156"
"sp|P00942|TPIS_YEAST1",0.463487729314735,13.1100033989653,13.1206294270645,1.19717216726374e-05,0.00110725807842982,4.16546012218574,"conditionD-conditionB","sp|P00942|TPIS_YEAST","YEAST","1","0.584962500721156"
"sp|Q3E754|RS21B_YEAST1",0.453665258681703,11.1898362522614,13.0909032365355,1.21310793124339e-05,0.00110725807842982,4.15258608029265,"conditionD-conditionB","sp|Q3E754|RS21B_YEAST","YEAST","1","0.584962500721156"
"sp|P40089|LSM5_YEAST1",0.635092164634988,8.19042989537235,13.0028196208834,1.26179474688594e-05,0.00110725807842982,4.11422374975069,"conditionD-conditionB","sp|P40089|LSM5_YEAST","YEAST","1","0.584962500721156"
"sp|P05759|RS31_YEAST1",0.598039302965201,11.678577416238,12.9689298731068,1.28112864316383e-05,0.00110725807842982,4.09937804686928,"conditionD-conditionB","sp|P05759|RS31_YEAST","YEAST","1","0.584962500721156"
