DEA,expression_type,MVI,Normalization,label
SAM,norm,MinDet,No_norm,2.0
ttest,pro_LFQ,MinDet,center.mean,2.0
ROTS,norm,No_MVI,center.median,2.0
siggenes,pro_LFQ,min,center.mean,2.0
proDA,pro_LFQ,mice,center.mean,2.0
siggenes,norm,QRILC,quantiles,2.0
siggenes,norm,MLE,quantiles,2.0
ROTS,raw,MinDet,quantiles,2.0
limma,raw,MinDet,center.mean,2.0
limma,norm,No_MVI,center.mean,2.0
siggenes,norm,MLE,center.median,2.0
ROTS,pro_LFQ,zero,div.mean,2.0
proDA,pro_LFQ,No_MVI,No_norm,2.0
proDA,pro_LFQ,zero,No_norm,2.0
siggenes,norm,nbavg,quantiles,2.0
limma,raw,MinProb,center.mean,2.0
limma,norm_raw,MinDet,center.mean,2.0
siggenes,norm,QRILC,center.median,2.0
siggenes,norm,MinDet,center.mean,2.0
limma,MaxLFQ_raw,missForest,quantiles,2.0
limma,norm_raw,MinDet,No_norm,2.0
ROTS,MaxLFQ_raw,knn,quantiles,2.0
siggenes,norm,bpca,center.mean,2.0
SAM,norm,bpca,No_norm,2.0
limma,norm,No_MVI,center.median,2.0
ROTS,MaxLFQ_raw,knn,No_norm,2.0
ttest,pro_LFQ,MinProb,center.mean,2.0
limma,norm_raw,MinProb,No_norm,2.0
limma,norm_raw,MinProb,center.mean,2.0
limma,norm,No_MVI,quantiles,2.0
siggenes,norm,MinProb,center.mean,2.0
limma,raw,MinDet,center.median,2.0
SAM,norm,MLE,No_norm,2.0
ttest,pro_LFQ,MinDet,center.median,2.0
siggenes,norm,mice,No_norm,2.0
siggenes,norm,missForest,center.median,2.0
proDA,norm,No_MVI,center.mean,2.0
SAM,norm,nbavg,No_norm,2.0
siggenes,pro_LFQ,knn,No_norm,2.0
DEP,pro_LFQ,MLE,center.mean,2.0
limma,raw,MinProb,quantiles,2.0
limma,raw,MinProb,center.median,2.0
DEP,pro_LFQ,MinDet,center.mean,2.0
SAM,norm,QRILC,No_norm,2.0
siggenes,norm,missForest,quantiles,2.0
siggenes,norm,MLE,center.mean,2.0
siggenes,norm,min,center.median,2.0
siggenes,norm,nbavg,center.median,2.0
SAM,pro_LFQ,missForest,No_norm,2.0
limma,norm_raw,MinDet,center.median,2.0
limma,norm_raw,MinProb,quantiles,2.0
SAM,norm,missForest,No_norm,2.0
siggenes,norm,QRILC,center.mean,2.0
limma,norm_raw,MinProb,center.median,2.0
siggenes,norm,zero,No_norm,2.0
ROTS,MaxLFQ_raw,knn,center.mean,2.0
DEP,pro_LFQ,MLE,center.median,2.0
SAM,pro_LFQ,QRILC,No_norm,2.0
ttest,pro_LFQ,min,center.mean,2.0
SAM,norm,min,No_norm,2.0
proDA,MaxLFQ_raw,min,No_norm,2.0
SAM,pro_LFQ,MLE,No_norm,2.0
proDA,norm,No_MVI,center.median,2.0
siggenes,norm,missForest,center.mean,2.0
siggenes,norm,nbavg,center.mean,2.0
SAM,pro_LFQ,nbavg,No_norm,2.0
proDA,MaxLFQ_raw,min,center.mean,2.0
siggenes,norm,min,center.mean,2.0
ttest,pro_LFQ,MinProb,center.median,2.0
ROTS,norm_raw,min,quantiles,2.0
siggenes,pro_LFQ,zero,center.median,2.0
ROTS,raw,min,quantiles,2.0
siggenes,pro_LFQ,zero,quantiles,2.0
ROTS,norm_raw,bpca,No_norm,2.0
SAM,pro_LFQ,bpca,No_norm,2.0
proDA,MaxLFQ_raw,bpca,center.mean,2.0
limma,raw,MinDet,quantiles,2.0
ROTS,raw,MinDet,No_norm,2.0
DEP,pro_LFQ,missForest,center.mean,2.0
ROTS,MaxLFQ_raw,knn,center.median,2.0
DEP,MaxLFQ_raw,bpca,quantiles,2.0
proDA,MaxLFQ_raw,MLE,center.mean,2.0
siggenes,norm,mice,quantiles,2.0
siggenes,norm,zero,center.median,2.0
ttest,pro_LFQ,MinProb,quantiles,2.0
ROTS,raw,MinProb,No_norm,2.0
ROTS,norm_raw,MLE,center.mean,2.0
siggenes,pro_LFQ,knn,center.median,2.0
ROTS,raw,MLE,center.mean,2.0
siggenes,pro_LFQ,zero,center.mean,2.0
ROTS,norm_raw,bpca,center.mean,2.0
ROTS,raw,bpca,center.mean,2.0
proDA,MaxLFQ_raw,bpca,center.median,2.0
limma,norm_raw,MinDet,quantiles,2.0
ROTS,raw,MLE,center.median,2.0
ROTS,raw,bpca,quantiles,2.0
SAM,pro_LFQ,MinProb,quantiles,2.0
siggenes,norm,knn,No_norm,2.0
limma,pro_LFQ,No_MVI,No_norm,2.0
siggenes,norm,mice,center.median,2.0
SAM,pro_LFQ,MinDet,quantiles,2.0
limma,MaxLFQ_raw,zero,No_norm,2.0
ROTS,raw,bpca,center.median,2.0
ROTS,norm_raw,bpca,center.median,2.0
proDA,MaxLFQ_raw,bpca,No_norm,2.0
DEP,pro_LFQ,bpca,center.mean,2.0
ttest,pro_LFQ,min,center.median,2.0
proDA,MaxLFQ_raw,MLE,center.median,2.0
ROTS,pro_LFQ,No_MVI,No_norm,2.0
ROTS,raw,MLE,quantiles,2.0
ROTS,raw,QRILC,No_norm,2.0
ROTS,norm_raw,MLE,No_norm,2.0
