"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"148","sp|P30624|LCF1_YEAST","conditionB-conditionA",3.44278718825217e-09,-1.07383506990967,1.68977478751593e-07,"YEAST","1","-1"
"149","sp|P38708|YHI0_YEAST","conditionB-conditionA",3.48501112614716e-09,-1.05856450311938,1.68977478751593e-07,"YEAST","1","-1"
"150","sp|P38068|GLRX7_YEAST","conditionB-conditionA",3.51205856115891e-09,-1.12847325495169,1.68977478751593e-07,"YEAST","1","-1"
"151","sp|P53141|MLC1_YEAST","conditionB-conditionA",3.51925627163944e-09,-1.11750117062391,1.68977478751593e-07,"YEAST","1","-1"
"152","sp|P0CX54|RL12B_YEAST;sp|P0CX53|RL12A_YEAST","conditionB-conditionA",3.53439103841199e-09,-1.10352731311325,1.68977478751593e-07,"YEAST","1","-1"
"153","sp|P16120|THRC_YEAST","conditionB-conditionA",3.56625853143633e-09,-1.10201421946345,1.68977478751593e-07,"YEAST","1","-1"
"154","sp|P15705|STI1_YEAST","conditionB-conditionA",3.58860324100039e-09,-1.07894596428463,1.68977478751593e-07,"YEAST","1","-1"
"155","sp|P07170|KAD2_YEAST","conditionB-conditionA",3.65120651207727e-09,-1.11432802970546,1.68977478751593e-07,"YEAST","1","-1"
"156","sp|P00931|TRP_YEAST","conditionB-conditionA",3.6543585620943e-09,-1.12610960164697,1.68977478751593e-07,"YEAST","1","-1"
"157","sp|P04807|HXKB_YEAST","conditionB-conditionA",3.67846411336327e-09,-1.1457844456131,1.68977478751593e-07,"YEAST","1","-1"
"158","sp|P38720|6PGD1_YEAST;sp|P53319|6PGD2_YEAST","conditionB-conditionA",3.68310749778164e-09,-1.01872349517511,1.68977478751593e-07,"YEAST","1","-1"
"159","sp|P36421|SYYC_YEAST","conditionB-conditionA",3.68402975546933e-09,-1.15034642592314,1.68977478751593e-07,"YEAST","1","-1"
"160","sp|P11633|NHP6B_YEAST","conditionB-conditionA",3.694911546956e-09,-1.18320432910258,1.68977478751593e-07,"YEAST","1","-1"
"161","sp|P47143|ADK_YEAST","conditionB-conditionA",3.70800323506112e-09,-1.15055680498304,1.68977478751593e-07,"YEAST","1","-1"
"162","sp|P23644|TOM40_YEAST","conditionB-conditionA",3.71687258521465e-09,-1.23194728532142,1.68977478751593e-07,"YEAST","1","-1"
"163","sp|P40327|PRS4_YEAST","conditionB-conditionA",3.73135782338198e-09,-1.18140486692127,1.68977478751593e-07,"YEAST","1","-1"
"164","sp|P38627|URA8_YEAST","conditionB-conditionA",3.77291297355614e-09,-1.13810377084403,1.68977478751593e-07,"YEAST","1","-1"
"165","sp|P53090|ARO8_YEAST","conditionB-conditionA",3.77532509456338e-09,-1.09914157325844,1.68977478751593e-07,"YEAST","1","-1"
"166","sp|Q04439|MYO5_YEAST","conditionB-conditionA",3.77949697001062e-09,-1.04952327367494,1.68977478751593e-07,"YEAST","1","-1"
"167","sp|P18239|ADT2_YEAST","conditionB-conditionA",3.80386962410424e-09,-1.09549935767521,1.68977478751593e-07,"YEAST","1","-1"
