"idx" "metrics" "performance" "type"
236 "pAUC(0.01)" 0.672788822727273 "mean"
237 "pAUC(0.01)" 0.718906109090909 "mean"
238 "pAUC(0.01)" 0.720569527272727 "mean"
239 "pAUC(0.01)" 0.6400688 "mean"
240 "pAUC(0.01)" 0.6406038 "mean"
241 "pAUC(0.01)" 0.719426213636364 "mean"
242 "pAUC(0.01)" 0.652156813636364 "mean"
243 "pAUC(0.01)" 0.686924913636364 "mean"
244 "pAUC(0.01)" 0.634027945454545 "mean"
245 "pAUC(0.01)" 0.667261831818182 "mean"
246 "pAUC(0.01)" 0.6916973 "mean"
247 "pAUC(0.01)" 0.671630113636364 "mean"
248 "pAUC(0.01)" 0.640485659090909 "mean"
249 "pAUC(0.01)" 0.664229481818182 "mean"
250 "pAUC(0.01)" 0.698922622727273 "mean"
251 "pAUC(0.01)" 0.659743440909091 "mean"
252 "pAUC(0.01)" 0.69005945 "mean"
253 "pAUC(0.01)" 0.693483290909091 "mean"
254 "pAUC(0.01)" 0.683961904545455 "mean"
255 "pAUC(0.01)" 0.684263690909091 "mean"
256 "pAUC(0.01)" 0.723664554545455 "mean"
257 "pAUC(0.01)" 0.665613854545455 "mean"
258 "pAUC(0.01)" 0.653161472727273 "mean"
259 "pAUC(0.01)" 0.716090836363636 "mean"
260 "pAUC(0.01)" 0.642949545454545 "mean"
261 "pAUC(0.01)" 0.680916313636364 "mean"
262 "pAUC(0.01)" 0.645959713636364 "mean"
263 "pAUC(0.01)" 0.704450681818182 "mean"
264 "pAUC(0.01)" 0.651612063636364 "mean"
265 "pAUC(0.01)" 0.654258145454545 "mean"
266 "pAUC(0.01)" 0.700560786363636 "mean"
267 "pAUC(0.01)" 0.660199113636364 "mean"
268 "pAUC(0.01)" 0.664031822727273 "mean"
269 "pAUC(0.01)" 0.6546411 "mean"
270 "pAUC(0.01)" 0.653826359090909 "mean"
271 "pAUC(0.01)" 0.693636109090909 "mean"
272 "pAUC(0.01)" 0.632539663636364 "mean"
273 "pAUC(0.01)" 0.694236109090909 "mean"
274 "pAUC(0.01)" 0.690719104545455 "mean"
275 "pAUC(0.01)" 0.729583472727273 "mean"
276 "pAUC(0.01)" 0.693025813636364 "mean"
277 "pAUC(0.01)" 0.673249040909091 "mean"
278 "pAUC(0.01)" 0.729939054545455 "mean"
279 "pAUC(0.01)" 0.662159454545455 "mean"
280 "pAUC(0.01)" 0.697093613636364 "mean"
281 "pAUC(0.01)" 0.672352445454545 "mean"
282 "pAUC(0.01)" 0.668429890909091 "mean"
283 "pAUC(0.01)" 0.698972186363636 "mean"
284 "pAUC(0.01)" 0.697664881818182 "mean"
285 "pAUC(0.01)" 0.669350581818182 "mean"
286 "pAUC(0.01)" 0.632195686363636 "mean"
287 "pAUC(0.01)" 0.712410754545455 "mean"
288 "pAUC(0.01)" 0.720282913636364 "mean"
289 "pAUC(0.01)" 0.667495990909091 "mean"
290 "pAUC(0.01)" 0.649388690909091 "mean"
291 "pAUC(0.01)" 0.698878 "mean"
292 "pAUC(0.01)" 0.676996 "mean"
293 "pAUC(0.01)" 0.7031308 "mean"
294 "pAUC(0.01)" 0.66013855 "mean"
295 "pAUC(0.01)" 0.666593281818182 "mean"
296 "pAUC(0.01)" 0.712511090909091 "mean"
297 "pAUC(0.01)" 0.673918327272727 "mean"
298 "pAUC(0.01)" 0.671121368181818 "mean"
299 "pAUC(0.01)" 0.629962695454545 "mean"
300 "pAUC(0.01)" 0.637445909090909 "mean"
301 "pAUC(0.01)" 0.653429636363636 "mean"
302 "pAUC(0.01)" 0.648525340909091 "mean"
303 "pAUC(0.01)" 0.733253263636364 "mean"
304 "pAUC(0.01)" 0.655552331818182 "mean"
305 "pAUC(0.01)" 0.6482192 "mean"
306 "pAUC(0.01)" 0.652397618181818 "mean"
307 "pAUC(0.01)" 0.658306559090909 "mean"
308 "pAUC(0.01)" 0.72312365 "mean"
309 "pAUC(0.01)" 0.720856786363636 "mean"
310 "pAUC(0.01)" 0.679748290909091 "mean"
311 "pAUC(0.01)" 0.686121236363636 "mean"
312 "pAUC(0.01)" 0.667090254545455 "mean"
313 "pAUC(0.01)" 0.659784490909091 "mean"
314 "pAUC(0.01)" 0.681787440909091 "mean"
315 "pAUC(0.01)" 0.696677909090909 "mean"
316 "pAUC(0.01)" 0.661519595454545 "mean"
317 "pAUC(0.01)" 0.636453822727273 "mean"
318 "pAUC(0.01)" 0.684613345454545 "mean"
319 "pAUC(0.01)" 0.717169145454545 "mean"
320 "pAUC(0.01)" 0.686344790909091 "mean"
321 "pAUC(0.01)" 0.628060868181818 "mean"
322 "pAUC(0.01)" 0.663761218181818 "mean"
323 "pAUC(0.01)" 0.70578815 "mean"
324 "pAUC(0.01)" 0.731338263636364 "mean"
325 "pAUC(0.01)" 0.677045040909091 "mean"
326 "pAUC(0.01)" 0.646174122727273 "mean"
327 "pAUC(0.01)" 0.652204304545455 "mean"
328 "pAUC(0.01)" 0.677244563636364 "mean"
329 "pAUC(0.01)" 0.693480781818182 "mean"
330 "pAUC(0.01)" 0.631167963636364 "mean"
331 "pAUC(0.01)" 0.667512618181818 "mean"
332 "pAUC(0.01)" 0.683714059090909 "mean"
333 "pAUC(0.01)" 0.694769436363636 "mean"
334 "pAUC(0.01)" 0.704199790909091 "mean"
335 "pAUC(0.01)" 0.701633054545455 "mean"
336 "pAUC(0.01)" 0.664634731818182 "mean"
337 "pAUC(0.01)" 0.66057725 "mean"
338 "pAUC(0.01)" 0.661299640909091 "mean"
339 "pAUC(0.01)" 0.706182595454545 "mean"
340 "pAUC(0.01)" 0.6650251 "mean"
341 "pAUC(0.01)" 0.661981909090909 "mean"
342 "pAUC(0.01)" 0.690400395454545 "mean"
343 "pAUC(0.01)" 0.640122272727273 "mean"
344 "pAUC(0.01)" 0.669330481818182 "mean"
345 "pAUC(0.01)" 0.7022681 "mean"
346 "pAUC(0.01)" 0.718912913636364 "mean"
347 "pAUC(0.01)" 0.694432186363636 "mean"
348 "pAUC(0.01)" 0.645707981818182 "mean"
349 "pAUC(0.01)" 0.718893022727273 "mean"
350 "pAUC(0.01)" 0.664751745454545 "mean"
351 "pAUC(0.01)" 0.653235959090909 "mean"
352 "pAUC(0.01)" 0.706674318181818 "mean"
353 "pAUC(0.01)" 0.703657118181818 "mean"
354 "pAUC(0.01)" 0.628802936363636 "mean"
355 "pAUC(0.01)" 0.683633463636364 "mean"
356 "pAUC(0.01)" 0.651501981818182 "mean"
357 "pAUC(0.01)" 0.656384318181818 "mean"
358 "pAUC(0.01)" 0.706839459090909 "mean"
359 "pAUC(0.01)" 0.626989068181818 "mean"
360 "pAUC(0.01)" 0.690634504545454 "mean"
361 "pAUC(0.01)" 0.711701040909091 "mean"
362 "pAUC(0.01)" 0.668230209090909 "mean"
363 "pAUC(0.01)" 0.681767081818182 "mean"
