DEA,expression_type,MVI,Normalization,label
limma,phi,MLE,No_norm,2.0
proDA,ratio,nbavg,center.median,2.0
proDA,ratio,min,center.median,2.0
ROTS,phi,Impseqrob,lossf,2.0
ROTS,phi,Impseq,lossf,2.0
ROTS,phi,bpca,lossf,2.0
DEP,abd,GMS,lossf,2.0
ROTS,phi,GMS,lossf,2.0
DEP,abd,SeqKNN,lossf,2.0
DEP,abd,bpca,lossf,2.0
DEP,abd,Impseqrob,lossf,2.0
DEP,abd,missForest,lossf,2.0
DEP,abd,Impseq,lossf,2.0
DEP,abd,zero,lossf,2.0
DEP,abd,No_MVI,lossf,2.0
ROTS,phi,missForest,lossf,2.0
ROTS,phi,SeqKNN,lossf,2.0
DEP,abd,MLE,lossf,2.0
DEP,abd,mice,lossf,2.0
ROTS,phi,No_MVI,No_norm,2.0
DEP,abd,knn,lossf,2.0
ROTS,phi,No_MVI,lossf,2.0
DEP,abd,QRILC,lossf,2.0
ROTS,phi,QRILC,lossf,2.0
ROTS,phi,min,lossf,2.0
ROTS,phi,MLE,lossf,2.0
DEP,abd,MinProb,lossf,2.0
DEP,abd,MinDet,lossf,2.0
MSstats,Median,TRUE,FALSE,2.0
MSstats,Median,FALSE,FALSE,2.0
ROTS,phi,MinDet,lossf,2.0
ROTS,phi,zero,lossf,2.0
DEP,abd,nbavg,lossf,2.0
ROTS,phi,mice,lossf,2.0
ROTS,abd,MLE,Rlr,2.0
DEP,abd,min,lossf,2.0
ROTS,phi,MinProb,lossf,2.0
ROTS,phi,knn,lossf,2.0
ROTS,phi,nbavg,lossf,2.0
ROTS,phi,MLE,No_norm,2.0
ROTS,phi,SeqKNN,No_norm,2.0
ROTS,phi,missForest,No_norm,2.0
ROTS,phi,Impseqrob,No_norm,2.0
ROTS,phi,GMS,No_norm,2.0
ROTS,phi,bpca,No_norm,2.0
ROTS,abd,min,Rlr,2.0
ROTS,phi,mice,No_norm,2.0
ROTS,phi,knn,No_norm,2.0
ROTS,phi,Impseq,No_norm,2.0
ROTS,phi,MinProb,No_norm,2.0
ROTS,phi,MinDet,No_norm,2.0
ROTS,phi,min,No_norm,2.0
ROTS,phi,QRILC,No_norm,2.0
ROTS,abd,QRILC,Rlr,2.0
ROTS,abd,MinDet,Rlr,2.0
DEP,phi,SeqKNN,lossf,2.0
ROTS,abd,MinProb,Rlr,2.0
DEP,phi,missForest,lossf,2.0
DEP,phi,GMS,lossf,2.0
DEP,phi,Impseqrob,lossf,2.0
ROTS,abd,zero,Rlr,2.0
DEP,phi,bpca,lossf,2.0
DEP,phi,Impseq,lossf,2.0
DEP,phi,zero,lossf,2.0
DEP,phi,No_MVI,lossf,2.0
ROTS,abd,knn,Rlr,2.0
DEP,phi,mice,lossf,2.0
DEP,phi,MLE,lossf,2.0
DEP,phi,MinProb,lossf,2.0
DEP,phi,QRILC,lossf,2.0
