"abd","phi","ratio"
"limma|FragPipe||MLE|quantiles.robust_nMcc_A.E_HYms2815_TMT16",0.6689437400896,0.639143602517706,0.706988275854679
"limma|FragPipe||MLE|quantiles.robust_nMcc_D.E_HYms2815_TMT16",0.556738655019633,0.565503730238804,0.5
"limma|FragPipe||MLE|vsn_nMcc_B.A_HEqe277_TMT10",0.5,0.5,0.5
"limma|FragPipe||MLE|vsn_nMcc_C.A_HEqe277_TMT10",0.5,0.5,0.833450818370775
"limma|FragPipe||MLE|vsn_nMcc_C.B_HEqe277_TMT10",0.5,0.5,0.901360835567641
"limma|FragPipe||MLE|vsn_nMcc_B.A_HYqfl683_TMT11",0.5,0.5,0.935616590221963
"limma|FragPipe||MLE|vsn_nMcc_C.A_HYqfl683_TMT11",0.5,0.5,0.916299402893129
"limma|FragPipe||MLE|vsn_nMcc_C.B_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|vsn_nMcc_A.B_HYms2faims815_TMT16",0.5,0.5,0.508915288800137
"limma|FragPipe||MLE|vsn_nMcc_B.D_HYms2faims815_TMT16",0.5,0.5,0.616863060593006
"limma|FragPipe||MLE|vsn_nMcc_C.E_HYms2faims815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|vsn_nMcc_B.C_HYsps2815_TMT16",0.5,0.5,0.693656957581139
"limma|FragPipe||MLE|vsn_nMcc_B.E_HYsps2815_TMT16",0.5,0.5,0.716819700885427
"limma|FragPipe||MLE|vsn_nMcc_A.C_HYsps2815_TMT16",0.5,0.5,0.608657629274915
"limma|FragPipe||MLE|vsn_nMcc_A.D_HYms2815_TMT16",0.5,0.5,0.61391778872871
"limma|FragPipe||MLE|vsn_nMcc_A.E_HYms2815_TMT16",0.5,0.5,0.592792073369241
"limma|FragPipe||MLE|vsn_nMcc_D.E_HYms2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|lossf_nMcc_B.A_HEqe277_TMT10",0.603432396969187,0.689210039937338,0.5
"limma|FragPipe||MLE|lossf_nMcc_C.A_HEqe277_TMT10",0.962522552010345,0.947290402919554,0.545650340603823
"limma|FragPipe||MLE|lossf_nMcc_C.B_HEqe277_TMT10",0.941471242273259,0.925629809182416,0.515893747528216
"limma|FragPipe||MLE|lossf_nMcc_B.A_HYqfl683_TMT11",0.956652981552988,0.938504021923295,0.527985132739298
"limma|FragPipe||MLE|lossf_nMcc_C.A_HYqfl683_TMT11",0.964542012313065,0.949386253761868,0.545428554854581
"limma|FragPipe||MLE|lossf_nMcc_C.B_HYqfl683_TMT11",0.610828354156878,0.607878360264399,0.5
"limma|FragPipe||MLE|lossf_nMcc_A.B_HYms2faims815_TMT16",0.811382632454794,0.784380070494702,0.5
"limma|FragPipe||MLE|lossf_nMcc_B.D_HYms2faims815_TMT16",0.933038973559821,0.923833330014181,0.5
"limma|FragPipe||MLE|lossf_nMcc_C.E_HYms2faims815_TMT16",0.90477292681705,0.890962641057849,0.5
"limma|FragPipe||MLE|lossf_nMcc_B.C_HYsps2815_TMT16",0.921412146813478,0.916910856689005,0.49731386252212
"limma|FragPipe||MLE|lossf_nMcc_B.E_HYsps2815_TMT16",0.916260317887424,0.913959798420031,0.5
"limma|FragPipe||MLE|lossf_nMcc_A.C_HYsps2815_TMT16",0.945641638375597,0.93516886190195,0.546374350497155
"limma|FragPipe||MLE|lossf_nMcc_A.D_HYms2815_TMT16",0.87730530582389,0.866299636669178,0.50163613838893
"limma|FragPipe||MLE|lossf_nMcc_A.E_HYms2815_TMT16",0.877501631862921,0.862102444049041,0.500116952213465
"limma|FragPipe||MLE|lossf_nMcc_D.E_HYms2815_TMT16",0.583404001938293,0.590669441079952,0.5
"limma|FragPipe||MLE|TIC_nMcc_B.A_HEqe277_TMT10",0.558266409247693,0.585091569070899,0.5
"limma|FragPipe||MLE|TIC_nMcc_C.A_HEqe277_TMT10",0.94011436374529,0.912097483234694,0.5
"limma|FragPipe||MLE|TIC_nMcc_C.B_HEqe277_TMT10",0.88411920182505,0.881131395768601,0.5
"limma|FragPipe||MLE|TIC_nMcc_B.A_HYqfl683_TMT11",0.940607412488587,0.915838049888506,0.5
"limma|FragPipe||MLE|TIC_nMcc_C.A_HYqfl683_TMT11",0.958696023543353,0.941162263321256,0.5
"limma|FragPipe||MLE|TIC_nMcc_C.B_HYqfl683_TMT11",0.547374051930052,0.561746500036592,0.5
"limma|FragPipe||MLE|TIC_nMcc_A.B_HYms2faims815_TMT16",0.754578998602227,0.737331267766115,0.5
"limma|FragPipe||MLE|TIC_nMcc_B.D_HYms2faims815_TMT16",0.876913338411115,0.815575632293929,0.5
"limma|FragPipe||MLE|TIC_nMcc_C.E_HYms2faims815_TMT16",0.86495055375896,0.859355779298094,0.5
"limma|FragPipe||MLE|TIC_nMcc_B.C_HYsps2815_TMT16",0.693092951962765,0.697725026011458,0.53454066629933
