"abd","phi","ratio"
"limma|FragPipe||MLE|quantiles_geomean_B.A_HYqfl683_TMT11",0.886301549360793,0.853358995593516,0.769960770393615
"limma|FragPipe||MLE|quantiles_geomean_C.A_HYqfl683_TMT11",0.919142231775213,0.896172568398599,0.79457442579328
"limma|FragPipe||MLE|quantiles_geomean_C.B_HYqfl683_TMT11",0.0651695053579674,0.0738952732466885,0
"limma|FragPipe||MLE|quantiles_geomean_A.B_HYms2faims815_TMT16",0.651911845291728,0.631897183712694,0.021090845720286
"limma|FragPipe||MLE|quantiles_geomean_B.D_HYms2faims815_TMT16",0.837267209929065,0.826767795852353,0.822672700740838
"limma|FragPipe||MLE|quantiles_geomean_C.E_HYms2faims815_TMT16",0.738938438315529,0.735917095248491,0
"limma|FragPipe||MLE|quantiles_geomean_A.C_HYsps2815_TMT16",0.82309444275466,0.777406644786117,0.81479266542922
"limma|FragPipe||MLE|quantiles_geomean_B.C_HYsps2815_TMT16",0.788265634462932,0.77717384181213,0.868552699118411
"limma|FragPipe||MLE|quantiles_geomean_B.E_HYsps2815_TMT16",0.737576237573173,0.658490690529413,0.873635621710273
"limma|FragPipe||MLE|quantiles_geomean_A.D_HYms2815_TMT16",0.750945036037642,0.714906077620933,0.721114906084467
"limma|FragPipe||MLE|quantiles_geomean_A.E_HYms2815_TMT16",0.677281548868724,0.637370973766359,0.720272415389992
"limma|FragPipe||MLE|quantiles_geomean_D.E_HYms2815_TMT16",0.136737583444992,0.1568487652686,0
"limma|FragPipe||MLE|quantiles.robust_geomean_B.A_HEqe277_TMT10",0.131363597619903,0.227465249324455,0
"limma|FragPipe||MLE|quantiles.robust_geomean_C.A_HEqe277_TMT10",0.926291164007293,0.899905920475791,0.669276093530145
"limma|FragPipe||MLE|quantiles.robust_geomean_C.B_HEqe277_TMT10",0.801115810400944,0.820534198203813,0.528336914042611
"limma|FragPipe||MLE|quantiles.robust_geomean_B.A_HYqfl683_TMT11",0.882360479511391,0.850519190727944,0.761570959348473
"limma|FragPipe||MLE|quantiles.robust_geomean_C.A_HYqfl683_TMT11",0.91124114909794,0.89273319408482,0.782495301362957
"limma|FragPipe||MLE|quantiles.robust_geomean_C.B_HYqfl683_TMT11",0.0696733014291618,0.0738952732466885,0
"limma|FragPipe||MLE|quantiles.robust_geomean_A.B_HYms2faims815_TMT16",0.652050680414687,0.629305279105451,0
"limma|FragPipe||MLE|quantiles.robust_geomean_B.D_HYms2faims815_TMT16",0.83147695945584,0.819281130056119,0.831242940600203
"limma|FragPipe||MLE|quantiles.robust_geomean_C.E_HYms2faims815_TMT16",0.73864161627571,0.730128678556465,0
"limma|FragPipe||MLE|quantiles.robust_geomean_A.C_HYsps2815_TMT16",0.773140201002837,0.728223620313595,0.758141415484086
"limma|FragPipe||MLE|quantiles.robust_geomean_B.C_HYsps2815_TMT16",0.750040570589152,0.745175468841588,0.772796424761976
"limma|FragPipe||MLE|quantiles.robust_geomean_B.E_HYsps2815_TMT16",0.684001685019314,0.597827466918482,0.814417732101543
"limma|FragPipe||MLE|quantiles.robust_geomean_A.D_HYms2815_TMT16",0.751114910962472,0.714460791948569,0.720624272544635
"limma|FragPipe||MLE|quantiles.robust_geomean_A.E_HYms2815_TMT16",0.677853528996737,0.63658506597822,0.719764859093729
"limma|FragPipe||MLE|quantiles.robust_geomean_D.E_HYms2815_TMT16",0.136737583444992,0.1568487652686,0
"limma|FragPipe||MLE|vsn_geomean_B.A_HEqe277_TMT10",0,0,0
"limma|FragPipe||MLE|vsn_geomean_C.A_HEqe277_TMT10",0,0,0.882581366128259
"limma|FragPipe||MLE|vsn_geomean_C.B_HEqe277_TMT10",0,0,0.922034470603846
"limma|FragPipe||MLE|vsn_geomean_B.A_HYqfl683_TMT11",0,0,0.938890329675544
"limma|FragPipe||MLE|vsn_geomean_C.A_HYqfl683_TMT11",0,0,0.945165645612002
"limma|FragPipe||MLE|vsn_geomean_C.B_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|vsn_geomean_A.B_HYms2faims815_TMT16",0,0,0.0211666878333651
"limma|FragPipe||MLE|vsn_geomean_B.D_HYms2faims815_TMT16",0,0,0.496728020129048
"limma|FragPipe||MLE|vsn_geomean_C.E_HYms2faims815_TMT16",0,0,0
"limma|FragPipe||MLE|vsn_geomean_A.C_HYsps2815_TMT16",0,0,0.676085033048749
"limma|FragPipe||MLE|vsn_geomean_B.C_HYsps2815_TMT16",0,0,0.7207160198241
"limma|FragPipe||MLE|vsn_geomean_B.E_HYsps2815_TMT16",0,0,0.479091859173036
"limma|FragPipe||MLE|vsn_geomean_A.D_HYms2815_TMT16",0,0,0.515619819073605
"limma|FragPipe||MLE|vsn_geomean_A.E_HYms2815_TMT16",0,0,0.473189063718662
"limma|FragPipe||MLE|vsn_geomean_D.E_HYms2815_TMT16",0,0,0
"limma|FragPipe||MLE|lossf_geomean_B.A_HEqe277_TMT10",0.241989560107544,0.427099801111949,0
