"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"124","sp|P38219|OLA1_YEAST","conditionC-conditionB",29.3609095929187,1.88055060668102e-06,0.288657807828134,0.000103172465945572,"YEAST","1","0.321928094887362"
"125","sp|P27616|PUR7_YEAST","conditionC-conditionB",29.2918605329858,1.94446130630244e-06,0.792239015269235,0.000105825362134204,"YEAST","1","0.321928094887362"
"126","sp|P05750|RS3_YEAST","conditionC-conditionB",29.226337714811,2.00711093967243e-06,0.321180719193734,0.000107772307887553,"YEAST","1","0.321928094887362"
"127","sp|P41921|GSHR_YEAST","conditionC-conditionB",29.2213940601973,2.0119187272849e-06,0.51822857484094,0.000107772307887553,"YEAST","1","0.321928094887362"
"128","sp|P25362|PET18_YEAST","conditionC-conditionB",29.1881048999791,2.04459357255882e-06,1.07382625293124,0.000108666953704044,"YEAST","1","0.321928094887362"
"129","sp|P00925|ENO2_YEAST","conditionC-conditionB",29.1383976643022,2.09437169274018e-06,0.323630086896898,0.000110449694772957,"YEAST","1","0.321928094887362"
"130","sp|P17255|VATA_YEAST","conditionC-conditionB",29.1038807759289,2.12964741086452e-06,0.276842624285939,0.000111446087200856,"YEAST","1","0.321928094887362"
"131","sp|Q99383|HRP1_YEAST","conditionC-conditionB",29.0826401211788,2.15164903916154e-06,0.527290472857499,0.000111737926819969,"YEAST","1","0.321928094887362"
"132","sp|P15873|PCNA_YEAST","conditionC-conditionB",29.0247088173616,2.21281541812335e-06,0.456221093195968,0.000113167799244635,"YEAST","1","0.321928094887362"
"133","sp|P12709|G6PI_YEAST","conditionC-conditionB",29.0237164106499,2.21387821985886e-06,0.329512566103304,0.000113167799244635,"YEAST","1","0.321928094887362"
"134","sp|P05748|RL15A_YEAST","conditionC-conditionB",29.0095659798346,2.22908791691623e-06,0.439299378304769,0.000113167799244635,"YEAST","1","0.321928094887362"
"135","sp|P38720|6PGD1_YEAST","conditionC-conditionB",28.9336908475004,2.31243895632005e-06,0.338292188611653,0.000116529794221076,"YEAST","1","0.321928094887362"
